type,match,FIFA_rank,week,odds,profit世欧预,奧地利vs威尔士,26vs10,星期四,1.98|-2.95|3.50|4.35|3.60|-1.61,1.61
世欧预,摩尔多瓦vs塞尔维亚,161vs50,星期四,14.00|4.45|-1.20|3.50|3.30|-1.85,1.2
世亚预,阿联酋vs泰　国,66vs135,星期四,-1.21|4.60|11.70|-1.81|3.50|3.45,1.21
世欧预,土耳其vs乌克兰,21vs29,星期四,1.99|-2.90|3.55|4.43|3.60|-1.60,-1.99
世欧预,奧地利vs威尔士,26vs10,星期四,1.98|-2.95|3.50|4.35|3.60|-1.61,-3.5
世欧预,摩尔多瓦vs塞尔维亚,161vs50,星期四,14.00|4.45|-1.20|3.50|3.30|-1.85,-3.5
世欧预,卢森堡vs瑞　典,145vs41,星期五,15.50|5.55|-1.13|4.30|-3.60|1.62,1.13
世欧预,匈牙利vs瑞　士,20vs16,星期五,3.38|2.76|-2.12|1.53|-3.65|4.95,2.12
世欧预,希　腊vs塞浦路斯,48vs87,星期五,-1.29|4.10|9.10|-2.11|3.25|2.88,1.29
世欧预,亚美尼亚vs罗马尼亚,112vs32,星期六,4.45|2.92|-1.78|1.78|3.35|-3.72,1.78
